Id,Worker Id,Name,Assigned Smart Guard,Assigned Smart Watch,Assigned Gas Detection Sensor,Status,Parent Site,Gender,Company Id,Allowed Sites,Comment,Mobile,Email,Blood Group,Worker Type,Emergency Name,Emergency Mobile,Emergency Relation,Address,Nationality,Passport Number,Identity Type,NID,Assigned By,Last Online At,Present Today,Online Now,Created At,Updated At
12534,235997,Ahmed,58208A8800850110,68208C9D00C00171,5820AA1002C00S95,Active,HUGRS,Male,0,HUGRS,,594828620,AhmedTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198276,siteadmin,8/21/2022 17:56,No,No,6/12/2022 10:24,8/21/2022 17:56
12533,235998,Mohamed,58208A8800850111,68208C9D00C00172,5820AA1002C00S96,Active,HUGRS,Male,0,HUGRS,,594828621,MohamedTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198275,siteadmin,7/4/2022 7:23,No,No,6/12/2022 10:24,7/4/2022 7:23
12532,235999,AL-DOSSARI,58208A8800850112,68208C9D00C00173,5820AA1002C00S97,Active,HUGRS,Male,0,HUGRS,,594828622,AL-DOSSARITest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198274,siteadmin,7/4/2022 7:20,No,No,6/12/2022 10:24,7/4/2022 7:20
12531,236000,Abdelwahab,58208A8800850113,68208C9D00C00174,5820AA1002C00S98,Active,HUGRS,Male,0,HUGRS,,594828623,AbdelwahabTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198273,siteadmin,7/4/2022 7:50,No,No,6/12/2022 10:24,7/4/2022 7:50
12530,236001,Shaekawy,58208A8800850114,68208C9D00C00175,5820AA1002C00S99,Active,HUGRS,Male,0,HUGRS,,594828624,ShaekawyTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198272,siteadmin,-,-,-,6/12/2022 10:24,6/12/2022 10:40
12529,236002,Zayat,58208A8800850115,68208C9D00C00176,5820AA1002C00S100,Active,HUGRS,Male,0,HUGRS,,594828625,ZayatTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198271,siteadmin,-,-,-,6/12/2022 10:24,6/12/2022 10:40
12528,236003,Omar,58208A8800850116,68208C9D00C00177,5820AA1002C00S101,Active,HUGRS,Male,0,HUGRS,,594828626,OmarTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198270,siteadmin,-,-,-,6/12/2022 10:24,6/12/2022 10:40
12527,236004,Hamdy,58208A8800850117,68208C9D00C00178,5820AA1002C00S102,Active,HUGRS,Male,0,HUGRS,,594828627,HamdyTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198269,siteadmin,-,-,-,6/12/2022 10:24,6/12/2022 10:40
12526,236005,Hossam,58208A8800850118,68208C9D00C00179,5820AA1002C00S103,Active,HUGRS,Male,0,HUGRS,,594828628,HossamTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198268,siteadmin,-,-,-,6/12/2022 10:24,6/12/2022 10:40
12525,236006,Sayed,58208A8800850119,68208C9D00C00180,5820AA1002C00S104,Active,HUGRS,Male,0,HUGRS,,594828629,SayedTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198267,siteadmin,7/4/2022 7:50,No,No,6/12/2022 10:24,7/4/2022 7:50
12524,236007,Ahmed,58208A8800850120,68208C9D00C00181,5820AA1002C00S105,Active,HUGRS,Male,0,HUGRS,,594828630,AhmedTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198266,siteadmin,7/3/2022 14:06,No,No,6/12/2022 10:24,7/3/2022 14:06
12523,236008,Mohamed,58208A8800850121,68208C9D00C00182,5820AA1002C00S106,Active,HUGRS,Male,0,HUGRS,,594828631,MohamedTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198265,siteadmin,7/3/2022 14:13,No,No,6/12/2022 10:24,7/3/2022 14:13
12522,236009,AL-DOSSARI,58208A8800850122,68208C9D00C00183,5820AA1002C00S107,Active,HUGRS,Male,0,HUGRS,,594828632,AL-DOSSARITest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198264,siteadmin,7/3/2022 14:23,No,No,6/12/2022 10:24,7/3/2022 14:23
12432,236010,Salman AlArfaj,58208A8800850123,68208C9D00C00184,5820AA1002C00S108,Active,HUGRS,Male,2900,HUGRS,,594828633,SalmanAlArfajTest@gmail.com,O+,Grinder,Zayat,560020,Brother,"Riyadh, Ishbiliya",Saudi,,NIN,1010101021,Hugrs SiteAdmin,7/3/2022 14:28,No,No,5/11/2022 15:38,7/3/2022 14:28
12422,236011,Foad Said,58208A8800850124,68208C9D00C00185,5820AA1002C00S109,Active,HUGRS,Male,2900,HUGRS,,594828634,FoadSaidTest@gmail.com,O+,Bus Driver,Figo,560010,Brother,"Riyadh, Ishbiliya",Saudi,,NIN,1010101011,siteadmin,-,-,-,5/11/2022 15:38,5/11/2022 15:38
12414,236012,Galal AlHadi,58208A8800850125,68208C9D00C00186,5820AA1002C00S110,Active,HUGRS,Male,2900,HUGRS,,594828635,GalalAlHadiTest@gmail.com,O+,Grinder,Ali,560002,Brother,"Riyadh, Ishbiliya",Saudi,,NIN,1010101003,Hugrs SiteAdmin,5/16/2022 15:06,No,No,5/11/2022 15:38,5/16/2022 15:06
12413,236013,Khaled Altala,58208A8800850126,68208C9D00C00187,5820AA1002C00S111,Active,HUGRS,Male,2900,HUGRS,,594828636,KhaledAltalaTest@gmail.com,O+,Bus Driver,Sayed,560001,Brother,"Riyadh, Ishbiliya",Saudi,,NIN,1010101002,Hugrs SiteAdmin,5/11/2022 16:26,No,No,5/11/2022 15:38,5/11/2022 16:26
12412,236014,Ahmed Alsakran,58208A8800850127,68208C9D00C00188,5820AA1002C00S112,Active,HUGRS,Male,2900,HUGRS,,594828637,AhmedAlsakranTest@gmail.com,O+,Civil Technician,Hassan,560000,Brother,"Riyadh, Ishbiliya",Saudi,,NIN,1010101001,Hugrs SiteAdmin,5/27/2022 15:31,No,No,5/11/2022 15:38,5/27/2022 15:31
12410,236015,Khaled Altala,58208A8800850128,68208C9D00C00189,5820AA1002C00S113,Active,MYPD,Male,266,MYPD,,594828638,KhaledAltalaTest@gmail.com,B+,Civil Engineer,Ahmed,5600900908,N/A,"Zahraa Nasr City, 63 Ahmed El Zomor",Saudi,,NIN,1010101018,System Admin,6/9/2022 17:51,No,No,5/11/2022 9:20,6/9/2022 17:51
12391,236016,Moustafa Mohamed,58208A8800850129,68208C9D00C00190,5820AA1002C00S114,Active,MYPD,Male,266,MYPD,,594828639,MoustafaMohamedTest@gmail.com,B+,Civil Engineer,Ahmed,5600900900,,"Zahraa Nasr City, 63 Ahmed El Zomor",Saudi,,NIN,1010101010,System Admin,-,-,-,5/10/2022 12:58,5/10/2022 12:58
12390,236017,Salman AlArfaj,58208A8800850130,68208C9D00C00191,5820AA1002C00S115,Active,MYPD,Male,266,MYPD,,594828640,SalmanAlArfajTest@gmail.com,B+,Civil Engineer,Ahmed,5600900900,N/A,"Zahraa Nasr City, 63 Ahmed El Zomor",Saudi,,NIN,1010101010,System Admin,5/12/2022 11:17,No,No,5/10/2022 11:10,5/12/2022 11:17
